artist_name,track_name,Minor / Major Key Tonality,Harmonic Sophistication
the postal service,such great heights,1.0,0.2
boy division,love will tear us apart,0.8,0.2
muse,supermassive black hole,0.0,0.4
radiohead,karma police,0.6,0.8
arcade fire,rebellion (lies),1.0,0.2
death cab for cutie,i will follow you into the dark,0.8,0.6
muse,time is running out,0.0,0.6
muse,starlight,1.0,0.2
radiohead,all i need,0.0,0.2
arcade fire,neighborhood #1 (tunnels),1.0,0.2
coldplay,the scientist,1.0,0.2
massive attack,teardrop,0.0,0.2
radiohead,15 step,0.4,0.6
radiohead,paranoid android,0.4,1.0
radiohead,bodysnatchers,0.6,0.6
bloc party,banquet,0.6,0.6
arctic monkeys,i bet you look good on the dancefloor,0.0,0.2
radiohead,jigsaw falling into place,0.4,0.4
radiohead,reckoner,0.4,0.6
interpol,evil,0.0,0.2
radiohead,weird fishes/arpeggi,0.6,0.2
radiohead,house of cards,0.6,0.6
muse,map of the problematique,0.0,0.8
mgmt,time to pretend,1.0,0.4
radiohead,fake plastic trees,1.0,0.2
mgmt,kids,1.0,0.2
arcade fire,no cars go,1.0,0.2
arcade fire,une année sans lumière,0.4,0.2
the killers,smile like you mean it,0.4,0.2
the postal service,nothing better,1.0,0.2
arcade fire,wake up,1.0,0.2
arcade fire,neighborhood #3 (power out),0.4,0.2
radiohead,faust arp,0.4,0.8
muse,hysteria,0.0,0.4
depeche mode,enjoy the silence,0.0,0.2
the killers,all these things that i've done,1.0,0.2
mgmt,electric feel,0.0,0.2
klaxons,golden skans,1.0,0.2
radiohead,no surprises,1.0,0.6
the shins,new slang,1.0,0.2
jeff buckley,hallelujah,1.0,0.4
radiohead,exit music (for a film),0.0,0.6
interpol,obstacle 1,0.0,0.4
pink floyd,wish you were here,1.0,0.4
joy division,she's lost control,0.0,0.2
radiohead,videotape,0.8,0.2
interpol,slow hands,0.0,0.2
death cab for cutie,crooked teeth,1.0,0.2
the postal service,the district sleeps alone tonight,0.4,0.2
coldplay,don't panic,1.0,0.2
imogen heap,hide and seek,1.0,0.2
arcade fire,keep the car running,1.0,0.2
death cab for cutie,summer skin,0.8,0.4
air,all i need,0.6,0.6
arcade fire,crown of love,0.8,0.8
arctic monkeys,mardy bum,1.0,0.2
the smiths,this charming man,1.0,0.2
air,sexy boy,0.6,0.6
the postal service,sleeping in,1.0,0.2
arcade fire,intervention,1.0,0.4
arcade fire,neighborhood #2 (laika),0.0,0.2
arctic monkeys,fake tales of san francisco,1.0,0.2
death cab for cutie,your heart is an empty room,0.8,0.2
zero 7,in the waiting line,0.2,0.6
josé gonzález,heartbeats,0.0,0.6
massive attack,angel,0.0,0.2
bloc party,helicopter,0.0,0.2
amy winehouse,you know i'm no good,0.0,0.6
death cab for cutie,marching bands of manhattan,1.0,0.2
feist,mushaboom,1.0,0.2
muse,stockholm syndrome,0.0,0.8
the killers,jenny was a friend of mine,0.0,0.2
blur,song 2,0.6,0.2
johnny cash,hurt,0.0,0.6
the knife,heartbeats,0.8,0.2
death cab for cutie,someday you will be loved,1.0,0.2
