artist_name,track_name,Angry Lyrics,Sad Lyrics,Happy/Joyful Lyrics,Humorous Lyrics,Love/Romance Lyrics,Social/Political Lyrics,Abstract Lyrics,Explicit Lyrics
the postal service,such great heights,0.0,0.2,0.8,0.0,1.0,0.0,0.6,0.0
boy division,love will tear us apart,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0
muse,supermassive black hole,0.4,0.2,0.0,0.0,0.6,0.0,0.6,0.0
radiohead,karma police,0.4,0.2,0.0,0.2,0.0,0.6,0.4,0.0
arcade fire,rebellion (lies),0.4,0.2,0.0,0.0,0.0,0.6,0.4,0.0
death cab for cutie,i will follow you into the dark,0.0,0.8,0.0,0.0,1.0,0.2,0.4,0.0
muse,time is running out,0.4,0.4,0.0,0.0,0.6,0.0,0.4,0.0
muse,starlight,0.0,0.4,0.2,0.0,0.8,0.0,0.6,0.0
radiohead,all i need,0.2,1.0,0.0,0.0,1.0,0.0,0.6,0.0
arcade fire,neighborhood #1 (tunnels),0.0,0.4,0.4,0.0,0.8,0.0,0.6,0.0
coldplay,the scientist,0.0,1.0,0.0,0.0,0.8,0.0,0.4,0.0
massive attack,teardrop,0.0,0.8,0.0,0.0,0.6,0.0,1.0,0.0
radiohead,15 step,0.4,0.4,0.0,0.0,0.2,0.0,0.6,0.0
radiohead,paranoid android,0.6,0.4,0.0,0.2,0.0,0.6,0.8,0.0
radiohead,bodysnatchers,0.6,0.2,0.0,0.0,0.0,0.4,0.6,0.2
bloc party,banquet,0.4,0.0,0.0,0.0,0.2,0.2,0.4,0.0
arctic monkeys,i bet you look good on the dancefloor,0.2,0.2,0.4,0.4,0.4,0.0,0.2,0.0
radiohead,jigsaw falling into place,0.0,0.2,0.4,0.0,0.8,0.0,0.6,0.0
radiohead,reckoner,0.0,0.6,0.0,0.0,0.2,0.2,0.6,0.0
interpol,evil,0.2,0.6,0.0,0.0,0.4,0.0,0.6,0.0
radiohead,weird fishes/arpeggi,0.0,0.4,0.0,0.0,0.4,0.0,0.8,0.0
radiohead,house of cards,0.0,0.4,0.0,0.0,0.8,0.0,0.4,0.0
muse,map of the problematique,0.4,1.0,0.0,0.0,0.4,0.4,0.6,0.0
mgmt,time to pretend,0.2,0.6,0.2,0.4,0.0,0.4,0.4,0.6
radiohead,fake plastic trees,0.0,1.0,0.0,0.0,0.6,0.4,0.6,0.0
mgmt,kids,0.0,0.2,0.2,0.0,0.0,0.2,0.6,0.0
arcade fire,no cars go,0.0,0.0,0.8,0.0,0.0,0.2,0.6,0.0
arcade fire,une année sans lumière,0.0,0.6,0.0,0.0,0.6,0.0,0.4,0.0
the killers,smile like you mean it,0.0,0.6,0.0,0.0,0.2,0.0,0.4,0.0
the postal service,nothing better,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.0
arcade fire,wake up,0.2,0.6,0.2,0.0,0.0,0.4,0.4,0.0
arcade fire,neighborhood #3 (power out),0.6,0.4,0.0,0.0,0.0,0.6,0.6,0.0
radiohead,faust arp,0.2,0.4,0.0,0.0,0.4,0.2,0.8,0.0
muse,hysteria,0.6,0.4,0.0,0.0,0.8,0.0,0.4,0.0
depeche mode,enjoy the silence,0.0,0.4,0.2,0.0,1.0,0.0,0.4,0.0
the killers,all these things that i've done,0.0,0.4,0.4,0.0,0.0,0.2,0.4,0.0
mgmt,electric feel,0.0,0.0,0.4,0.0,0.6,0.0,0.6,0.2
klaxons,golden skans,0.0,0.0,0.6,0.0,0.2,0.0,0.6,0.0
radiohead,no surprises,0.2,1.0,0.0,0.0,0.0,0.4,0.4,0.0
the shins,new slang,0.2,0.6,0.0,0.0,0.2,0.2,0.8,0.0
jeff buckley,hallelujah,0.0,1.0,0.0,0.0,0.8,0.0,0.6,0.2
radiohead,exit music (for a film),0.4,1.0,0.0,0.0,0.6,0.2,0.4,0.0
interpol,obstacle 1,0.2,0.4,0.0,0.0,0.4,0.2,0.6,0.2
pink floyd,wish you were here,0.2,1.0,0.0,0.0,0.4,0.2,0.4,0.0
joy division,she's lost control,0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.0
radiohead,videotape,0.0,0.8,0.2,0.0,0.4,0.0,0.6,0.0
interpol,slow hands,0.2,0.0,0.0,0.0,0.6,0.0,0.4,0.2
death cab for cutie,crooked teeth,0.2,0.6,0.0,0.0,0.6,0.0,0.4,0.0
the postal service,the district sleeps alone tonight,0.0,0.8,0.0,0.0,0.8,0.0,0.4,0.0
coldplay,don't panic,0.0,0.4,0.4,0.0,0.2,0.0,0.4,0.0
imogen heap,hide and seek,0.4,1.0,0.0,0.0,0.6,0.0,0.8,0.0
arcade fire,keep the car running,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.0
death cab for cutie,summer skin,0.0,0.8,0.2,0.0,0.6,0.0,0.4,0.0
air,all i need,0.0,0.4,0.2,0.0,1.0,0.0,0.4,0.0
arcade fire,crown of love,0.2,1.0,0.0,0.0,1.0,0.0,0.4,0.0
arctic monkeys,mardy bum,0.4,0.6,0.2,0.4,0.6,0.0,0.2,0.0
the smiths,this charming man,0.0,0.2,0.4,0.6,0.6,0.4,0.4,0.0
air,sexy boy,0.0,0.0,0.2,0.2,0.6,0.0,0.2,0.0
the postal service,sleeping in,0.0,0.2,0.0,0.0,0.0,0.4,0.6,0.0
arcade fire,intervention,0.4,0.6,0.0,0.0,0.0,0.8,0.6,0.0
arcade fire,neighborhood #2 (laika),0.2,0.6,0.0,0.0,0.0,0.2,0.4,0.0
arctic monkeys,fake tales of san francisco,0.4,0.0,0.0,0.4,0.0,0.6,0.2,0.0
death cab for cutie,your heart is an empty room,0.0,0.8,0.2,0.0,0.8,0.0,0.4,0.0
zero 7,in the waiting line,0.2,0.6,0.0,0.0,0.0,0.2,0.4,0.0
josé gonzález,heartbeats,0.0,0.6,0.2,0.0,0.8,0.0,0.6,0.0
massive attack,angel,0.0,0.0,0.0,0.0,0.8,0.0,0.4,0.0
bloc party,helicopter,0.6,0.0,0.0,0.2,0.0,0.8,0.6,0.0
amy winehouse,you know i'm no good,0.2,0.8,0.0,0.0,0.8,0.0,0.2,0.4
death cab for cutie,marching bands of manhattan,0.0,0.8,0.0,0.0,1.0,0.0,0.6,0.0
feist,mushaboom,0.0,0.2,0.8,0.2,0.4,0.0,0.4,0.0
muse,stockholm syndrome,0.8,0.4,0.0,0.0,0.4,0.0,0.6,0.0
the killers,jenny was a friend of mine,0.4,0.2,0.0,0.0,0.2,0.0,0.2,0.0
blur,song 2,0.0,0.0,0.4,0.4,0.2,0.0,0.8,0.0
johnny cash,hurt,0.0,1.0,0.0,0.0,0.2,0.0,0.4,0.0
the knife,heartbeats,0.0,0.6,0.2,0.0,1.0,0.0,0.6,0.0
death cab for cutie,someday you will be loved,0.0,0.8,0.2,0.0,0.8,0.0,0.2,0.0
death cab for cutie,different names for the same thing,0.0,0.6,0.0,0.0,0.4,0.0,0.6,0.0
bloc party,like eating glass,0.4,0.8,0.0,0.0,0.6,0.0,0.6,0.0
dread zeppelin,stairway to heaven,0.0,0.0,0.2,0.4,0.0,0.2,0.8,0.0
the shins,caring is creepy,0.2,0.4,0.0,0.0,0.4,0.0,0.8,0.0
radiohead,let down,0.0,0.8,0.0,0.0,0.0,0.4,0.6,0.0
coldplay,in my place,0.0,0.8,0.0,0.0,0.8,0.0,0.2,0.0
pixies,where is my mind?,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0
bloc party,this modern love,0.0,0.4,0.2,0.0,1.0,0.0,0.2,0.0
damien rice,the blower's daughter,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0
arcade fire,black mirror,0.4,0.4,0.0,0.0,0.0,0.6,0.6,0.0
the postal service,clark gable,0.0,0.8,0.2,0.0,0.8,0.0,0.4,0.0
ladytron,destroy everything you touch,0.4,0.6,0.0,0.0,0.8,0.0,0.4,0.0
arcade fire,neighborhood #4 (7 kettles),0.0,0.8,0.0,0.0,0.0,0.2,0.6,0.0
death cab for cutie,what sarah said,0.0,1.0,0.0,0.0,0.6,0.0,0.4,0.0
kaiser chiefs,i predict a riot,0.4,0.0,0.0,0.4,0.0,0.6,0.2,0.0
u2,with or without you,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0
death cab for cutie,title and registration,0.0,0.8,0.0,0.2,0.6,0.0,0.4,0.0
amy winehouse,tears dry on their own,0.2,0.8,0.0,0.0,1.0,0.0,0.2,0.2
interpol,pda,0.2,0.6,0.0,0.0,0.6,0.0,0.6,0.0
the strokes,last nite,0.4,0.6,0.0,0.2,0.4,0.2,0.2,0.0
the postal service,brand new colony,0.0,0.0,0.8,0.2,1.0,0.0,0.6,0.0
the cure,boys don't cry,0.0,1.0,0.0,0.0,0.8,0.4,0.2,0.0
amy winehouse,back to black,0.2,1.0,0.0,0.0,1.0,0.0,0.4,0.4
muse,sing for absolution,0.0,0.8,0.0,0.0,0.4,0.0,0.6,0.0
arctic monkeys,the view from the afternoon,0.2,0.2,0.4,0.4,0.4,0.0,0.2,0.0
hot chip,over and over,0.0,0.0,0.8,0.4,0.0,0.0,0.4,0.0
the kooks,naïve,0.4,0.6,0.0,0.0,0.8,0.0,0.2,0.0
tool,vicarious,0.6,0.0,0.0,0.0,0.0,0.8,0.4,0.2
peter bjorn and john,young folks,0.0,0.0,0.6,0.0,0.6,0.2,0.2,0.0
arctic monkeys,dancing shoes,0.2,0.0,0.2,0.2,0.4,0.0,0.2,0.2
coldplay,trouble,0.0,0.8,0.0,0.0,0.6,0.0,0.4,0.0
arctic monkeys,fluorescent adolescent,0.2,0.4,0.2,0.6,0.4,0.0,0.4,0.4
radiohead,airbag,0.0,0.0,0.2,0.0,0.0,0.2,0.6,0.0
the smiths,there is a light that never goes out,0.0,0.8,0.2,0.2,1.0,0.0,0.2,0.0
klaxons,atlantis to interzone,0.0,0.0,0.2,0.0,0.0,0.2,1.0,0.0
klaxons,gravity's rainbow,0.0,0.0,0.4,0.0,0.0,0.2,0.8,0.0
joy division,transmission,0.2,0.6,0.0,0.0,0.0,0.4,0.6,0.0
