artist_name,track_name,Tempo,Cut Time Feel,Triple Meter,Compound Meter,Odd Meter,Swing Feel,Shuffle Feel,Syncopation Low to High,Backbeat,Danceability
the postal service,such great heights,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
boy division,love will tear us apart,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
muse,supermassive black hole,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0
radiohead,karma police,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.4,0.4
arcade fire,rebellion (lies),0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
death cab for cutie,i will follow you into the dark,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
muse,time is running out,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
muse,starlight,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
radiohead,all i need,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
arcade fire,neighborhood #1 (tunnels),0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
coldplay,the scientist,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2
massive attack,teardrop,0.2,0.8,0.0,0.0,0.0,0.2,0.0,0.6,0.2,0.4
radiohead,15 step,0.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.4
radiohead,paranoid android,0.4,0.2,0.0,0.0,0.8,0.0,0.0,0.8,0.4,0.2
radiohead,bodysnatchers,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.6
bloc party,banquet,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0
arctic monkeys,i bet you look good on the dancefloor,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
radiohead,jigsaw falling into place,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.6
radiohead,reckoner,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.4
interpol,evil,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8
radiohead,weird fishes/arpeggi,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.8,0.6,0.4
radiohead,house of cards,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
muse,map of the problematique,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
mgmt,time to pretend,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
radiohead,fake plastic trees,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2
mgmt,kids,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.0
arcade fire,no cars go,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
arcade fire,une année sans lumière,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
the killers,smile like you mean it,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
the postal service,nothing better,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
arcade fire,wake up,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
arcade fire,neighborhood #3 (power out),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
radiohead,faust arp,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2
muse,hysteria,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.8
depeche mode,enjoy the silence,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.0
the killers,all these things that i've done,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
mgmt,electric feel,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
klaxons,golden skans,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
radiohead,no surprises,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2
the shins,new slang,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
jeff buckley,hallelujah,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0
radiohead,exit music (for a film),0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
interpol,obstacle 1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
pink floyd,wish you were here,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2
joy division,she's lost control,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
radiohead,videotape,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
interpol,slow hands,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
death cab for cutie,crooked teeth,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
the postal service,the district sleeps alone tonight,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6
coldplay,don't panic,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
imogen heap,hide and seek,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
arcade fire,keep the car running,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
arcade fire,keep the car running,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
death cab for cutie,summer skin,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
air,all i need,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.4
arcade fire,crown of love,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4
arctic monkeys,mardy bum,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
the smiths,this charming man,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.8
air,sexy boy,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
the postal service,sleeping in,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
arcade fire,intervention,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.4
arcade fire,neighborhood #2 (laika),0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6
arctic monkeys,fake tales of san francisco,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8
death cab for cutie,your heart is an empty room,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
