artist_name,track_name,Live Recording,Audio Production,Aural Intensity,Acoustic Sonority,Electric Sonority,Synthetic Sonority
the postal service,such great heights,0.0,1.0,0.6,0.0,0.4,1.0
boy division,love will tear us apart,0.2,0.4,0.8,0.2,1.0,0.0
muse,supermassive black hole,0.0,1.0,0.8,0.2,0.8,0.8
radiohead,karma police,0.0,1.0,0.6,0.6,0.6,0.2
arcade fire,rebellion (lies),0.0,0.8,0.8,0.6,0.6,0.0
death cab for cutie,i will follow you into the dark,0.0,0.8,0.2,1.0,0.0,0.0
muse,time is running out,0.0,1.0,0.8,0.2,0.8,0.4
muse,starlight,0.0,1.0,0.8,0.4,0.6,0.6
radiohead,all i need,0.0,1.0,0.8,0.4,0.6,0.6
arcade fire,neighborhood #1 (tunnels),0.0,0.8,0.8,0.4,0.8,0.2
coldplay,the scientist,0.0,1.0,0.4,0.8,0.6,0.0
massive attack,teardrop,0.0,1.0,0.4,0.2,0.4,1.0
radiohead,15 step,0.0,1.0,0.6,0.4,0.6,0.6
radiohead,paranoid android,0.0,1.0,0.8,0.4,0.8,0.4
radiohead,bodysnatchers,0.0,1.0,0.8,0.0,1.0,0.0
bloc party,banquet,0.0,1.0,0.8,0.2,1.0,0.0
arctic monkeys,i bet you look good on the dancefloor,0.0,0.8,1.0,0.2,1.0,0.0
radiohead,jigsaw falling into place,0.0,1.0,0.8,0.4,0.8,0.2
radiohead,reckoner,0.0,1.0,0.4,0.6,0.6,0.0
interpol,evil,0.0,1.0,0.6,0.2,1.0,0.0
radiohead,weird fishes/arpeggi,0.0,1.0,0.6,0.4,0.8,0.2
radiohead,house of cards,0.0,1.0,0.4,0.2,0.8,0.2
muse,map of the problematique,0.0,1.0,0.8,0.0,0.6,1.0
mgmt,time to pretend,0.0,1.0,0.6,0.2,0.4,1.0
radiohead,fake plastic trees,0.0,1.0,0.6,0.6,0.6,0.2
mgmt,kids,0.0,1.0,0.8,0.0,0.2,1.0
arcade fire,no cars go,0.0,1.0,0.8,0.4,0.8,0.2
arcade fire,une année sans lumière,0.0,0.8,0.4,0.6,0.4,0.0
the killers,smile like you mean it,0.0,1.0,0.6,0.2,0.8,0.6
the postal service,nothing better,0.0,0.8,0.4,0.0,0.2,1.0
arcade fire,wake up,0.0,0.8,0.8,0.4,0.8,0.2
arcade fire,neighborhood #3 (power out),0.0,0.8,0.8,0.2,0.8,0.2
radiohead,faust arp,0.0,1.0,0.2,1.0,0.0,0.0
muse,hysteria,0.0,1.0,1.0,0.0,1.0,0.2
