artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
The Go! Team,Everyone'S A V.I.P. To Someone,,,,,,,,,,,,,,,,
God Lives Underwater,From Your Mouth,,,,,,,,,,,,,,,,
Belle And Sebastian,Don'T Leave The Light On Baby,,,,,,,,,,,,,,,,
Death Cab For Cutie,Information Travels Faster,,,,,,,,,,,,,,,,
The Go! Team,Grip Like A Vice,,,,,,,,,,,,,,,,
R.E.M.,Hollow Man,,,,,,,,,,,,,,,,
The Album Leaf,Streamside,,,,,,,,,,,,,,,,
Yann Tiersen,Comptine D'Un Autre Été : L'Après-Midi,,,,,,,,,,,,,,,,
Bonobo,Dinosaurs,,,,,,,,,,,,,,,,
The Sisters Of Mercy,Temple Of Love,,,,,,,,,,,,,,,,
Mylo,Need You Tonite,,,,,,,,,,,,,,,,
Cliff Martinez,Is That What Everybody Wants,,,,,,,,,,,,,,,,
Porcupine Tree,Anesthetize,,,,,,,,,,,,,,,,
Mission Of Burma,Academy Fight Song,,,,,,,,,,,,,,,,
Weird Al Yankovic,White & Nerdy,,,,,,,,,,,,,,,,
This Will Destroy You,Threads,,,,,,,,,,,,,,,,
Poisonblack,Nothing Else Remains,,,,,,,,,,,,,,,,
Mastodon,Bladecatcher,,,,,,,,,,,,,,,,
Garbage,Silence Is Golden,,,,,,,,,,,,,,,,
Nina Simone,Love Me Or Leave Me,,,,,,,,,,,,,,,,
Antsy Pants,Vampire,,,,,,,,,,,,,,,,
Nanne,Jag Måste Kyssa Dig,,,,,,,,,,,,,,,,
Tom Waits,Big Black Mariah,,,,,,,,,,,,,,,,
Katie Melua,Halfway Up The Hindu Kush,,,,,,,,,,,,,,,,
David Bowie,Scary Monsters (And Super Creeps),,,,,,,,,,,,,,,,
Art Brut,Nag Nag Nag Nag,,,,,,,,,,,,,,,,
The Jackson 5,Abc,,,,,,,,,,,,,,,,
The White Stripes,Truth Doesn'T Make A Noise,,,,,,,,,,,,,,,,
Dream Theater,Hollow Years,,,,,,,,,,,,,,,,
Antony And The Johnsons,Twilight,,,,,,,,,,,,,,,,
The Chemical Brothers,Marvo Ging,,,,,,,,,,,,,,,,
