track_index,artist_name,track_name,play_count
0,The Postal Service,Such Great Heights,1016
1,Boy Division,Love Will Tear Us Apart,896
2,Death Cab For Cutie,Soul Meets Body,884
3,Muse,Supermassive Black Hole,862
4,Radiohead,Karma Police,852
5,Arcade Fire,Rebellion (Lies),838
6,Death Cab For Cutie,I Will Follow You Into The Dark,798
7,Muse,Time Is Running Out,788
8,Radiohead,Nude,785
9,Muse,Starlight,782
10,Radiohead,All I Need,765
11,Arcade Fire,Neighborhood #1 (Tunnels),761
12,Coldplay,The Scientist,751
13,Massive Attack,Teardrop,749
14,Radiohead,15 Step,746
15,Radiohead,Paranoid Android,712
16,Radiohead,Bodysnatchers,707
17,Bloc Party,Banquet,704
18,Arctic Monkeys,I Bet You Look Good On The Dancefloor,689
19,Gnarls Barkley,Crazy,684
20,Radiohead,Jigsaw Falling Into Place,684
21,Radiohead,Reckoner,680
22,Interpol,Evil,680
23,Radiohead,Weird Fishes/Arpeggi,666
24,Radiohead,House Of Cards,662
25,Coldplay,Clocks,656
26,Muse,Map Of The Problematique,639
27,Mgmt,Time To Pretend,637
28,Radiohead,Fake Plastic Trees,636
29,The Killers,Somebody Told Me,636
30,Radiohead,Creep,627
31,Mgmt,Kids,623
32,Arcade Fire,No Cars Go,611
33,Snow Patrol,Chasing Cars,611
34,Arcade Fire,Une Année Sans Lumière,608
35,The Killers,Smile Like You Mean It,606
36,The Postal Service,Nothing Better,604
37,Arcade Fire,Wake Up,602
38,Arcade Fire,Neighborhood #3 (Power Out),601
39,Radiohead,Faust Arp,600
40,Muse,Hysteria,595
41,Depeche Mode,Enjoy The Silence,594
42,The Killers,All These Things That I'Ve Done,589
43,Mgmt,Electric Feel,584
44,Klaxons,Golden Skans,583
45,Radiohead,No Surprises,582
46,The Shins,New Slang,580
47,Franz Ferdinand,Take Me Out,579
48,Jeff Buckley,Hallelujah,578
49,Radiohead,Exit Music (For A Film),576
50,Interpol,Obstacle 1,569
51,Pink Floyd,Wish You Were Here,568
52,Joy Division,She'S Lost Control,567
53,Radiohead,Videotape,565
54,Britney Spears,Gimme More,565
55,The Killers,When You Were Young,563
56,Oasis,Wonderwall,560
57,Interpol,Slow Hands,553
58,Death Cab For Cutie,Crooked Teeth,551
59,The Postal Service,The District Sleeps Alone Tonight,550
60,Coldplay,Yellow,549
61,Coldplay,Don'T Panic,548
62,Imogen Heap,Hide And Seek,547
63,Arcade Fire,Keep The Car Running,547
64,The Cure,Just Like Heaven,546
65,Death Cab For Cutie,Summer Skin,545
66,Air,All I Need,543
67,Arcade Fire,Crown Of Love,540
68,Amy Winehouse,Rehab,539
69,Coldplay,Viva La Vida,532
70,Modest Mouse,Float On,532
71,Coldplay,Fix You,532
72,Arctic Monkeys,Mardy Bum,531
73,The Smiths,This Charming Man,529
74,Air,Sexy Boy,528
75,The Postal Service,Sleeping In,526
76,Arcade Fire,Intervention,524
77,Radiohead,High And Dry,520
78,Arcade Fire,Neighborhood #2 (Laika),519
79,Arctic Monkeys,Fake Tales Of San Francisco,516
80,Death Cab For Cutie,Your Heart Is An Empty Room,516
81,The White Stripes,Seven Nation Army,515
82,Zero 7,In The Waiting Line,513
83,José González,Heartbeats,513
84,Massive Attack,Angel,513
85,Bloc Party,Helicopter,508
86,Amy Winehouse,You Know I'M No Good,507
87,Death Cab For Cutie,Marching Bands Of Manhattan,506
88,Feist,Mushaboom,506
89,Yeah Yeah Yeahs,Maps,505
90,Nirvana,Smells Like Teen Spirit,504
91,Muse,Stockholm Syndrome,499
92,The Killers,Jenny Was A Friend Of Mine,499
93,Coldplay,Speed Of Sound,497
94,Blur,Song 2,496
95,Johnny Cash,Hurt,492
96,Regina Spektor,Fidelity,489
97,The Knife,Heartbeats,487
98,Death Cab For Cutie,Someday You Will Be Loved,486
99,Death Cab For Cutie,Different Names For The Same Thing,482
100,Bloc Party,Like Eating Glass,481
101,Dread Zeppelin,Stairway To Heaven,477
102,The Shins,Caring Is Creepy,474
103,Radiohead,Let Down,473
104,Coldplay,In My Place,472
105,Pixies,Where Is My Mind?,471
106,Bloc Party,This Modern Love,469
107,Damien Rice,The Blower'S Daughter,467
108,Arcade Fire,Black Mirror,465
109,The Postal Service,Clark Gable,465
110,Ladytron,Destroy Everything You Touch,463
111,Depeche Mode,Personal Jesus,462
112,Arcade Fire,Neighborhood #4 (7 Kettles),460
113,Death Cab For Cutie,What Sarah Said,459
114,Kaiser Chiefs,I Predict A Riot,456
115,U2,With Or Without You,454
116,Death Cab For Cutie,Title And Registration,452
117,Amy Winehouse,Tears Dry On Their Own,452
118,Interpol,Pda,449
119,The Killers,Mr. Brightside,449
120,The Strokes,Last Nite,448
121,The Postal Service,Brand New Colony,448
122,The Cure,Boys Don'T Cry,447
123,Amy Winehouse,Back To Black,447
124,Nirvana,Come As You Are,446
125,Muse,Sing For Absolution,444
126,Yeah Yeah Yeahs,Gold Lion,443
