artist_name,track_name,Vocal Register,Vocal Timbre Thin to Full,Vocal Breathiness,Vocal Smoothness,Vocal Grittiness,Vocal Nasality,Vocal Accompaniment
Guillemots,Get Over It,0.6,0.8,0.4,0.6,0.4,0.4,1.0
Kamelot,Edenecho,,,,,,,
Kalmah,To The Gallows,,,,,,,
Guillemots,Falling Out Of Reach,,,,,,,
Kalmah,Heroes To Us,,,,,,,
My Dying Bride,Silent Dance,,,,,,,
Guided By Voices,Evil Speakers,,,,,,,
The Flaming Lips,Plastic Jesus,,,,,,,
Carla Bruni,Those Dancing Days Are Gone,,,,,,,
Behemoth,Before The Æons Came,,,,,,,
Uverworld,－妙策号外Ｏｒｃｈｅｓｔｒａ－,,,,,,,
Sebastian Waldejer,If I Could,,,,,,,
Marilyn Manson,Apple Of Sodom,,,,,,,
Aphex Twin,On,,,,,,,
Uverworld,神集め,,,,,,,
The Flaming Lips,Turn It On,,,,,,,
Christian Death,Resurrection - Sixth Communion,,,,,,,
Christian Death,Burnt Offerings,,,,,,,
Britney Spears,Piece Of Me (Tiësto Remix),,,,,,,
Adam F,Circles,,,,,,,
Hot Hot Heat,Let Me In,,,,,,,
Avenged Sevenfold,Strength Of The World,0.6,0.8,0.2,0.6,0.8,0.4,0.6
Jeff Tweedy,Simple Twist Of Fate,,,,,,,
Christian Death,Sleepwalk,,,,,,,
Toru Okada,Sacrine Leaves,,,,,,,
Christian Death,Cervix Couch,,,,,,,
Forget Cassettes,Lonely Does It,,,,,,,
Activ,Visez,,,,,,,
Dirty Vegas,Walk Into The Sun (Radio Edit),,,,,,,
Santigold,I'M A Lady (Feat. Trouble Andrew),,,,,,,
Supergrass,She'S So Loose,,,,,,,
Supergrass,Rough Knuckles,,,,,,,
Avenged Sevenfold,Critical Acclaim,,,,,,,
Lamb,Merge,,,,,,,
Duran Duran,All She Wants Is,,,,,,,
Tactical Sekt,Left For Dead,,,,,,,
Delerium,Flowers Become Screens,,,,,,,
Lamb,Learn,,,,,,,
Swod,Tucholskystr.34,,,,,,,
Swod,Walz 57,,,,,,,
My Bloody Valentine,I Don'T Need You,,,,,,,
Jedi Mind Tricks,Shadow Business,,,,,,,
Obituary,Infected,,,,,,,
Robbie Williams & Nicole Kidman,Somethin' Stupid,,,,,,,
Animal Collective,Native Belle,,,,,,,
Steppenwolf,The Pusher,,,,,,,
As Blood Runs Black,Beneath The Surface,,,,,,,
Gang Of Four,The Republic,,,,,,,
Jedi Mind Tricks,On The Eve Of War (Feat. Gza),,,,,,,
